unix,date,symbol,open,high,low,close,Volume LQTY,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,LQTY/USD,1.641,1.641,1.623,1.629,234.945571,382.726335159,2022-04-29
1651269600000,2022-04-29 22:00:00,LQTY/USD,1.641,1.641,1.641,1.641,0.0,0.0,2022-04-29
1651266000000,2022-04-29 21:00:00,LQTY/USD,1.641,1.645,1.641,1.641,11.686921,19.178237361,2022-04-29
1651262400000,2022-04-29 20:00:00,LQTY/USD,1.642,1.651,1.637,1.641,1900.479901,3118.687517541,2022-04-29
1651258800000,2022-04-29 19:00:00,LQTY/USD,1.642,1.642,1.642,1.642,0.0,0.0,2022-04-29
1651255200000,2022-04-29 18:00:00,LQTY/USD,1.642,1.642,1.642,1.642,0.0,0.0,2022-04-29
1651251600000,2022-04-29 17:00:00,LQTY/USD,1.637,1.647,1.636,1.642,908.246519,1491.340784198,2022-04-29
1651248000000,2022-04-29 16:00:00,LQTY/USD,1.642,1.647,1.628,1.637,757.332511,1239.753320507,2022-04-29
1651244400000,2022-04-29 15:00:00,LQTY/USD,1.676,1.676,1.642,1.642,639.255639,1049.657759238,2022-04-29
1651240800000,2022-04-29 14:00:00,LQTY/USD,1.703,1.707,1.676,1.676,497.419493,833.6750702679999,2022-04-29
1651237200000,2022-04-29 13:00:00,LQTY/USD,1.688,1.703,1.677,1.703,2040.530585,3475.0235862550003,2022-04-29
1651233600000,2022-04-29 12:00:00,LQTY/USD,1.696,1.696,1.686,1.688,407.443208,687.764135104,2022-04-29
1651230000000,2022-04-29 11:00:00,LQTY/USD,1.703,1.703,1.696,1.696,412.995656,700.440632576,2022-04-29
1651226400000,2022-04-29 10:00:00,LQTY/USD,1.703,1.703,1.703,1.703,0.0,0.0,2022-04-29
1651222800000,2022-04-29 09:00:00,LQTY/USD,1.715,1.715,1.703,1.703,14.024917,23.884433651,2022-04-29
1651219200000,2022-04-29 08:00:00,LQTY/USD,1.715,1.715,1.715,1.715,0.0,0.0,2022-04-29
1651215600000,2022-04-29 07:00:00,LQTY/USD,1.721,1.721,1.715,1.715,292.362412,501.40153658,2022-04-29
1651212000000,2022-04-29 06:00:00,LQTY/USD,1.726,1.726,1.721,1.721,91.047228,156.692279388,2022-04-29
1651208400000,2022-04-29 05:00:00,LQTY/USD,1.724,1.726,1.709,1.726,456.338871,787.640891346,2022-04-29
1651204800000,2022-04-29 04:00:00,LQTY/USD,1.724,1.724,1.724,1.724,0.0,0.0,2022-04-29
1651201200000,2022-04-29 03:00:00,LQTY/USD,1.738,1.738,1.685,1.724,8714.112622,15023.130160328,2022-04-29
1651197600000,2022-04-29 02:00:00,LQTY/USD,1.772,1.772,1.728,1.738,132.713693,230.656398434,2022-04-29
1651194000000,2022-04-29 01:00:00,LQTY/USD,1.74,1.774,1.74,1.772,1102.096116,1952.914317552,2022-04-29
1651190400000,2022-04-29 00:00:00,LQTY/USD,1.818,1.819,1.74,1.74,250.94207,436.6392018,2022-04-29
