unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,AAVE/USD,143.7554,147.1687,143.3596,146.5178,29.29778,4292.646270484,2022-05-01
1651442400000,2022-05-01 22:00:00,AAVE/USD,144.1954,146.0958,143.6418,143.7554,23.482196,3375.6924788584,2022-05-01
1651438800000,2022-05-01 21:00:00,AAVE/USD,145.3094,145.8601,143.2864,144.1954,8.591502,1238.8550674908,2022-05-01
1651435200000,2022-05-01 20:00:00,AAVE/USD,142.8688,145.3094,141.6899,145.3094,41.306908,6002.2820173352,2022-05-01
1651431600000,2022-05-01 19:00:00,AAVE/USD,143.7996,143.8184,141.6899,142.8688,117.820074,16832.8125882912,2022-05-01
1651428000000,2022-05-01 18:00:00,AAVE/USD,146.7827,146.8195,143.7996,143.7996,27.976469,4023.0050516124,2022-05-01
1651424400000,2022-05-01 17:00:00,AAVE/USD,147.5654,148.5858,146.5953,146.7827,89.463145,13131.6419735915,2022-05-01
1651420800000,2022-05-01 16:00:00,AAVE/USD,146.4542,148.5455,146.4542,147.5654,52.884965,7803.991014211001,2022-05-01
1651417200000,2022-05-01 15:00:00,AAVE/USD,141.5124,147.638,141.5124,146.4542,62.710769,9184.2555052798,2022-05-01
1651413600000,2022-05-01 14:00:00,AAVE/USD,140.7935,141.8531,140.0722,141.5124,31.274926,4425.789838082401,2022-05-01
1651410000000,2022-05-01 13:00:00,AAVE/USD,141.91,142.7842,140.7935,140.7935,62.601992,8813.953560652,2022-05-01
1651406400000,2022-05-01 12:00:00,AAVE/USD,141.8811,143.7086,141.3361,141.91,64.942184,9215.94533144,2022-05-01
1651402800000,2022-05-01 11:00:00,AAVE/USD,143.4311,143.4311,141.6899,141.8811,6.833849,969.5940133539,2022-05-01
1651399200000,2022-05-01 10:00:00,AAVE/USD,143.3488,143.9288,142.4015,143.4311,0.931031,133.5388004641,2022-05-01
1651395600000,2022-05-01 09:00:00,AAVE/USD,144.5206,144.8241,142.2477,143.3488,1.894523,271.5775986224,2022-05-01
1651392000000,2022-05-01 08:00:00,AAVE/USD,142.7681,144.8242,142.7681,144.5206,8.731497,1261.8811853382,2022-05-01
1651388400000,2022-05-01 07:00:00,AAVE/USD,142.9179,143.6205,142.4015,142.7681,3.128208,446.6083125648,2022-05-01
1651384800000,2022-05-01 06:00:00,AAVE/USD,144.9226,145.8623,142.9179,142.9179,2.593748,370.6930172892,2022-05-01
1651381200000,2022-05-01 05:00:00,AAVE/USD,141.7256,145.5698,141.7256,144.9226,24.340582,3527.5004289532,2022-05-01
1651377600000,2022-05-01 04:00:00,AAVE/USD,143.2783,143.564,141.1831,141.7256,13.129347,1860.7645811832,2022-05-01
1651374000000,2022-05-01 03:00:00,AAVE/USD,142.8642,144.1185,142.7641,143.2783,48.448471,6941.6145624793,2022-05-01
1651370400000,2022-05-01 02:00:00,AAVE/USD,143.3298,145.1031,142.7748,142.8642,42.175896,6025.425641323201,2022-05-01
1651366800000,2022-05-01 01:00:00,AAVE/USD,141.7624,144.2217,138.8917,143.3298,78.645909,11272.3024077882,2022-05-01
1651363200000,2022-05-01 00:00:00,AAVE/USD,142.389,143.3983,139.7381,141.7624,327.170139,46380.4241129736,2022-05-01
