unix,date,symbol,open,high,low,close,Volume ALCX,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,ALCX/USD,62.47,62.68,62.24,62.34,138.909924,8659.644662159999,2022-05-03
1651615200000,2022-05-03 22:00:00,ALCX/USD,62.72,62.85,62.46,62.47,41.025499,2562.86292253,2022-05-03
1651611600000,2022-05-03 21:00:00,ALCX/USD,62.67,62.83,62.23,62.72,175.206852,10988.97375744,2022-05-03
1651608000000,2022-05-03 20:00:00,ALCX/USD,62.78,62.78,61.94,62.67,124.321425,7791.22370475,2022-05-03
1651604400000,2022-05-03 19:00:00,ALCX/USD,62.66,62.9,61.95,62.78,122.81683,7710.440587399999,2022-05-03
1651600800000,2022-05-03 18:00:00,ALCX/USD,63.41,63.41,62.41,62.66,157.940962,9896.58067892,2022-05-03
1651597200000,2022-05-03 17:00:00,ALCX/USD,63.14,65.49,63.12,63.41,455.795177,28901.97217357,2022-05-03
1651593600000,2022-05-03 16:00:00,ALCX/USD,63.75,63.86,63.14,63.14,95.262708,6014.88738312,2022-05-03
1651590000000,2022-05-03 15:00:00,ALCX/USD,63.56,63.82,63.41,63.75,48.16045,3070.2286875,2022-05-03
1651586400000,2022-05-03 14:00:00,ALCX/USD,63.71,64.06,63.44,63.56,43.569523,2769.27888188,2022-05-03
1651582800000,2022-05-03 13:00:00,ALCX/USD,64.67,64.67,63.7,63.71,108.577824,6917.49316704,2022-05-03
1651579200000,2022-05-03 12:00:00,ALCX/USD,65.9,65.91,64.67,64.67,34.966287,2261.26978029,2022-05-03
1651575600000,2022-05-03 11:00:00,ALCX/USD,64.86,65.9,64.81,65.9,247.368341,16301.5736719,2022-05-03
1651572000000,2022-05-03 10:00:00,ALCX/USD,64.41,65.0,63.99,64.86,817.440836,53019.21262296,2022-05-03
1651568400000,2022-05-03 09:00:00,ALCX/USD,64.82,65.15,64.41,64.41,0.067051,4.31875491,2022-05-03
1651564800000,2022-05-03 08:00:00,ALCX/USD,64.82,65.16,64.82,64.82,2.116964,137.22160647999996,2022-05-03
1651561200000,2022-05-03 07:00:00,ALCX/USD,65.15,65.16,64.82,64.82,0.269921,17.496279219999998,2022-05-03
1651557600000,2022-05-03 06:00:00,ALCX/USD,65.11,65.16,64.82,65.15,0.078155,5.091798250000001,2022-05-03
1651554000000,2022-05-03 05:00:00,ALCX/USD,64.98,65.2,64.39,65.11,6.059575,394.53892825,2022-05-03
1651550400000,2022-05-03 04:00:00,ALCX/USD,63.61,65.29,63.59,64.98,94.135371,6116.916407580001,2022-05-03
1651546800000,2022-05-03 03:00:00,ALCX/USD,63.32,63.72,63.29,63.61,3.144151,199.99944511,2022-05-03
1651543200000,2022-05-03 02:00:00,ALCX/USD,63.21,63.47,63.18,63.32,28.271299,1790.13865268,2022-05-03
1651539600000,2022-05-03 01:00:00,ALCX/USD,63.45,63.46,63.09,63.21,30.624833,1935.79569393,2022-05-03
1651536000000,2022-05-03 00:00:00,ALCX/USD,63.72,63.77,63.29,63.45,43.008377,2728.8815206500003,2022-05-03
