unix,date,symbol,open,high,low,close,Volume BOND,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,BOND/USD,6.0865,6.2171,6.0798,6.1406,162.210711,996.0710919666,2022-05-01
1651442400000,2022-05-01 22:00:00,BOND/USD,6.0616,6.1023,6.0616,6.0865,7.668632,46.675128668,2022-05-01
1651438800000,2022-05-01 21:00:00,BOND/USD,6.0295,6.0975,6.0295,6.0616,1065.558145,6458.987251732,2022-05-01
1651435200000,2022-05-01 20:00:00,BOND/USD,6.0082,6.0392,5.9984,6.0295,65.585391,395.4471150345,2022-05-01
1651431600000,2022-05-01 19:00:00,BOND/USD,5.9837,6.0112,5.98,6.0082,103.232361,620.2406713602,2022-05-01
1651428000000,2022-05-01 18:00:00,BOND/USD,6.0373,6.0407,5.9525,5.9837,2231.506329,13352.664420837298,2022-05-01
1651424400000,2022-05-01 17:00:00,BOND/USD,6.0849,6.1048,6.0366,6.0373,1067.921561,6447.362840225301,2022-05-01
1651420800000,2022-05-01 16:00:00,BOND/USD,6.1023,6.1023,6.0759,6.0849,31.801803,193.5107910747,2022-05-01
1651417200000,2022-05-01 15:00:00,BOND/USD,6.0293,6.1023,6.0133,6.1023,1011.565795,6172.8779508285,2022-05-01
1651413600000,2022-05-01 14:00:00,BOND/USD,6.0335,6.0653,5.9776,6.0293,39.625849,238.9161313757,2022-05-01
1651410000000,2022-05-01 13:00:00,BOND/USD,6.017,6.0372,5.992,6.0335,2.23741,13.499413235,2022-05-01
1651406400000,2022-05-01 12:00:00,BOND/USD,5.9966,6.017,5.992,6.017,15.049245,90.551307165,2022-05-01
1651402800000,2022-05-01 11:00:00,BOND/USD,6.0016,6.0171,5.9895,5.9966,182.456866,1094.1208426556,2022-05-01
1651399200000,2022-05-01 10:00:00,BOND/USD,5.9935,6.0107,5.9883,6.0016,2.012431,12.0778058896,2022-05-01
1651395600000,2022-05-01 09:00:00,BOND/USD,6.0313,6.0313,5.9868,5.9935,1041.608177,6242.878608849501,2022-05-01
1651392000000,2022-05-01 08:00:00,BOND/USD,5.9905,6.0313,5.9801,6.0313,1.440965,8.6908922045,2022-05-01
1651388400000,2022-05-01 07:00:00,BOND/USD,5.9917,6.0018,5.9812,5.9905,2.073211,12.4195704955,2022-05-01
1651384800000,2022-05-01 06:00:00,BOND/USD,5.991,6.0289,5.9884,5.9917,18.803352,112.6640441784,2022-05-01
1651381200000,2022-05-01 05:00:00,BOND/USD,5.7613,6.005,5.7495,5.991,1036.557097,6210.013568127,2022-05-01
1651377600000,2022-05-01 04:00:00,BOND/USD,5.784,5.784,5.7536,5.7613,17.124045,98.6567604585,2022-05-01
1651374000000,2022-05-01 03:00:00,BOND/USD,5.7549,5.784,5.7526,5.784,43.203244,249.887563296,2022-05-01
1651370400000,2022-05-01 02:00:00,BOND/USD,5.784,5.784,5.7549,5.7549,17.786429,102.3591202521,2022-05-01
1651366800000,2022-05-01 01:00:00,BOND/USD,5.7609,5.784,5.6501,5.784,77.711095,449.48097348,2022-05-01
1651363200000,2022-05-01 00:00:00,BOND/USD,5.8423,5.8983,5.7483,5.7609,100.793838,580.6632213342,2022-05-01
