unix,date,symbol,open,high,low,close,Volume MPL,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,MPL/USD,54.174,54.174,52.875,53.313,21.021959,1120.743700167,2022-04-30
1651356000000,2022-04-30 22:00:00,MPL/USD,53.95,54.769,53.95,54.174,199.711983,10819.196967042,2022-04-30
1651352400000,2022-04-30 21:00:00,MPL/USD,54.092,54.092,53.523,53.95,77.321051,4171.47070145,2022-04-30
1651348800000,2022-04-30 20:00:00,MPL/USD,53.883,54.092,53.883,54.092,0.165737,8.965045803999999,2022-04-30
1651345200000,2022-04-30 19:00:00,MPL/USD,53.991,53.991,53.706,53.883,14.508732,781.7740063560001,2022-04-30
1651341600000,2022-04-30 18:00:00,MPL/USD,53.999,54.13,53.602,53.991,93.88174,5068.769024339999,2022-04-30
1651338000000,2022-04-30 17:00:00,MPL/USD,53.77,53.999,53.592,53.999,209.719246,11324.629564754,2022-04-30
1651334400000,2022-04-30 16:00:00,MPL/USD,53.269,54.109,53.091,53.77,1962.921202,105546.27303154,2022-04-30
1651330800000,2022-04-30 15:00:00,MPL/USD,54.187,54.187,53.029,53.269,95.713062,5098.539099678,2022-04-30
1651327200000,2022-04-30 14:00:00,MPL/USD,53.502,54.242,53.502,54.187,10.099878,547.282089186,2022-04-30
1651323600000,2022-04-30 13:00:00,MPL/USD,53.61,53.61,53.502,53.502,0.093455,5.00002941,2022-04-30
1651320000000,2022-04-30 12:00:00,MPL/USD,52.258,53.905,52.258,53.61,0.647097,34.690870170000004,2022-04-30
1651316400000,2022-04-30 11:00:00,MPL/USD,52.158,52.338,52.158,52.258,0.704091,36.794387478,2022-04-30
1651312800000,2022-04-30 10:00:00,MPL/USD,51.721,52.234,51.721,52.158,3.427372,178.764868776,2022-04-30
1651309200000,2022-04-30 09:00:00,MPL/USD,51.594,51.721,51.361,51.721,81.871362,4234.468714002,2022-04-30
1651305600000,2022-04-30 08:00:00,MPL/USD,51.726,51.79,51.372,51.594,42.847308,2210.664008952,2022-04-30
1651302000000,2022-04-30 07:00:00,MPL/USD,51.21,51.837,50.749,51.726,59.807606,3093.608227956,2022-04-30
1651298400000,2022-04-30 06:00:00,MPL/USD,51.256,51.28,51.21,51.21,49.884516,2554.58606436,2022-04-30
1651294800000,2022-04-30 05:00:00,MPL/USD,50.885,51.279,50.885,51.256,58.805797,3014.149931032,2022-04-30
1651291200000,2022-04-30 04:00:00,MPL/USD,51.095,51.095,50.856,50.885,147.360012,7498.414210620001,2022-04-30
1651287600000,2022-04-30 03:00:00,MPL/USD,51.126,51.637,50.93,51.095,213.159853,10891.402689035,2022-04-30
1651284000000,2022-04-30 02:00:00,MPL/USD,52.188,52.188,50.809,51.126,303.709804,15527.467439304,2022-04-30
1651280400000,2022-04-30 01:00:00,MPL/USD,52.924,53.48,52.188,52.188,60.973754,3182.0982737520003,2022-04-30
1651276800000,2022-04-30 00:00:00,MPL/USD,51.503,53.143,51.503,52.924,34.171882,1808.512682968,2022-04-30
