unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,BTCG/USD,38553.21,38610.01,38553.21,38590.0,0.00190382,73.46841380000001,2022-04-29
1651269600000,2022-04-29 22:00:00,BTCG/USD,38410.82,38701.48,38410.82,38553.21,0.00300008,115.6627142568,2022-04-29
1651266000000,2022-04-29 21:00:00,BTCG/USD,38551.59,38701.56,37500.0,38410.82,5.89145313,226295.5457148666,2022-04-29
1651262400000,2022-04-29 20:00:00,BTCG/USD,38191.59,38564.09,38191.59,38551.59,1.24680962,48066.4932782958,2022-04-29
1651258800000,2022-04-29 19:00:00,BTCG/USD,38427.72,38489.68,38191.59,38191.59,0.85235316,32552.7224219244,2022-04-29
1651255200000,2022-04-29 18:00:00,BTCG/USD,38611.99,38644.45,38427.72,38427.72,0.2188058,8408.208016776,2022-04-29
1651251600000,2022-04-29 17:00:00,BTCG/USD,38946.66,38946.66,38606.07,38611.99,0.01135861,438.5785357339,2022-04-29
1651248000000,2022-04-29 16:00:00,BTCG/USD,39025.1,39025.1,38946.66,38946.66,0.00085947,33.4734858702,2022-04-29
1651244400000,2022-04-29 15:00:00,BTCG/USD,38833.33,39053.4,38833.33,39025.1,0.04252531,1659.554475281,2022-04-29
1651240800000,2022-04-29 14:00:00,BTCG/USD,39036.59,39036.59,38833.33,38833.33,0.09748204,3785.552228393201,2022-04-29
1651237200000,2022-04-29 13:00:00,BTCG/USD,38894.64,39166.66,38894.08,39036.59,0.00378455,147.7359266845,2022-04-29
1651233600000,2022-04-29 12:00:00,BTCG/USD,38657.03,38985.91,38657.03,38894.64,0.04409403,1715.0214229992,2022-04-29
1651230000000,2022-04-29 11:00:00,BTCG/USD,38858.58,38954.45,38657.03,38657.03,0.00148728,57.4938275784,2022-04-29
1651226400000,2022-04-29 10:00:00,BTCG/USD,39166.66,39189.96,38678.81,38858.58,0.01184065,460.110845277,2022-04-29
1651222800000,2022-04-29 09:00:00,BTCG/USD,39553.32,39553.32,39166.66,39166.66,7.5e-05,2.9374995,2022-04-29
1651219200000,2022-04-29 08:00:00,BTCG/USD,39553.32,39553.32,39553.32,39553.32,0.0,0.0,2022-04-29
1651215600000,2022-04-29 07:00:00,BTCG/USD,39566.56,39598.34,39553.32,39553.32,0.95988726,37966.7279587032,2022-04-29
1651212000000,2022-04-29 06:00:00,BTCG/USD,39443.62,39566.57,39443.62,39566.56,0.05677583,2246.4242842448,2022-04-29
1651208400000,2022-04-29 05:00:00,BTCG/USD,39443.62,39443.62,39443.62,39443.62,0.0,0.0,2022-04-29
1651204800000,2022-04-29 04:00:00,BTCG/USD,39511.5,39515.87,39431.91,39443.62,0.24078082,9497.267167368402,2022-04-29
1651201200000,2022-04-29 03:00:00,BTCG/USD,39499.99,39542.53,39418.63,39511.5,0.00233809,92.381443035,2022-04-29
1651197600000,2022-04-29 02:00:00,BTCG/USD,39806.46,39806.46,39499.99,39499.99,7.5e-05,2.96249925,2022-04-29
1651194000000,2022-04-29 01:00:00,BTCG/USD,39793.45,39830.96,39793.45,39806.46,0.00456194,181.5946821324,2022-04-29
1651190400000,2022-04-29 00:00:00,BTCG/USD,39723.03,39852.81,39723.03,39793.45,0.00293445,116.77188935249998,2022-04-29
