unix,date,symbol,open,high,low,close,Volume DPI,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,DPI/USD,142.34,146.15,142.34,146.15,1.341207,196.01740305,2022-05-01
1651442400000,2022-05-01 22:00:00,DPI/USD,142.34,142.34,142.34,142.34,0.0,0.0,2022-05-01
1651438800000,2022-05-01 21:00:00,DPI/USD,142.75,142.75,142.34,142.34,0.36954,52.6003236,2022-05-01
1651435200000,2022-05-01 20:00:00,DPI/USD,142.8,142.8,142.75,142.75,0.04182,5.969805,2022-05-01
1651431600000,2022-05-01 19:00:00,DPI/USD,143.65,143.65,142.8,142.8,1.059155,151.24733400000002,2022-05-01
1651428000000,2022-05-01 18:00:00,DPI/USD,147.28,147.28,143.65,143.65,1.36061,195.45162650000003,2022-05-01
1651424400000,2022-05-01 17:00:00,DPI/USD,147.72,147.95,147.28,147.28,3.638299,535.84867672,2022-05-01
1651420800000,2022-05-01 16:00:00,DPI/USD,142.08,147.72,142.08,147.72,1.014893,149.91999396,2022-05-01
1651417200000,2022-05-01 15:00:00,DPI/USD,142.08,142.08,142.08,142.08,0.0,0.0,2022-05-01
1651413600000,2022-05-01 14:00:00,DPI/USD,142.35,142.35,142.08,142.08,0.002904,0.41260032,2022-05-01
1651410000000,2022-05-01 13:00:00,DPI/USD,142.35,142.35,142.35,142.35,0.0,0.0,2022-05-01
1651406400000,2022-05-01 12:00:00,DPI/USD,142.35,142.35,142.35,142.35,0.0,0.0,2022-05-01
1651402800000,2022-05-01 11:00:00,DPI/USD,144.72,144.72,142.35,142.35,0.069284,9.8625774,2022-05-01
1651399200000,2022-05-01 10:00:00,DPI/USD,144.72,144.72,144.72,144.72,0.0,0.0,2022-05-01
1651395600000,2022-05-01 09:00:00,DPI/USD,144.72,144.72,144.72,144.72,0.0,0.0,2022-05-01
1651392000000,2022-05-01 08:00:00,DPI/USD,144.72,144.72,144.72,144.72,0.0,0.0,2022-05-01
1651388400000,2022-05-01 07:00:00,DPI/USD,144.72,144.72,144.72,144.72,0.0,0.0,2022-05-01
1651384800000,2022-05-01 06:00:00,DPI/USD,141.29,144.72,141.29,144.72,0.666964,96.52303008,2022-05-01
1651381200000,2022-05-01 05:00:00,DPI/USD,141.29,141.29,141.29,141.29,0.0,0.0,2022-05-01
1651377600000,2022-05-01 04:00:00,DPI/USD,140.84,141.29,140.84,141.29,1.018802,143.94653458,2022-05-01
1651374000000,2022-05-01 03:00:00,DPI/USD,142.52,142.52,140.84,140.84,1.815976,255.76205984,2022-05-01
1651370400000,2022-05-01 02:00:00,DPI/USD,142.52,142.52,142.52,142.52,0.0,0.0,2022-05-01
1651366800000,2022-05-01 01:00:00,DPI/USD,140.82,142.52,140.12,142.52,15.195069,2165.60123388,2022-05-01
1651363200000,2022-05-01 00:00:00,DPI/USD,139.83,140.82,139.83,140.82,0.509192,71.70441744,2022-05-01
