unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,ANKR/USD,0.06117,0.06132,0.05731,0.06002,793649.688917,47634.854328798334,2022-04-30
1651356000000,2022-04-30 22:00:00,ANKR/USD,0.06227,0.06227,0.0611,0.06117,58432.300699,3574.30383375783,2022-04-30
1651352400000,2022-04-30 21:00:00,ANKR/USD,0.06282,0.06287,0.06227,0.06227,2219.89039,138.2325745853,2022-04-30
1651348800000,2022-04-30 20:00:00,ANKR/USD,0.06309,0.0633,0.06279,0.06282,26409.346281,1659.03513337242,2022-04-30
1651345200000,2022-04-30 19:00:00,ANKR/USD,0.06244,0.06312,0.06244,0.06309,18578.107372,1172.0927940994798,2022-04-30
1651341600000,2022-04-30 18:00:00,ANKR/USD,0.06213,0.06283,0.06213,0.06244,14499.360132,905.34004664208,2022-04-30
1651338000000,2022-04-30 17:00:00,ANKR/USD,0.06288,0.06288,0.06189,0.06213,117309.439719,7288.43548974147,2022-04-30
1651334400000,2022-04-30 16:00:00,ANKR/USD,0.06297,0.06336,0.0627,0.06288,27636.2853,1737.7696196640002,2022-04-30
1651330800000,2022-04-30 15:00:00,ANKR/USD,0.06267,0.06309,0.06229,0.06297,19855.810698,1250.32039965306,2022-04-30
1651327200000,2022-04-30 14:00:00,ANKR/USD,0.06455,0.06464,0.06262,0.06267,12922.186235,809.83341134745,2022-04-30
1651323600000,2022-04-30 13:00:00,ANKR/USD,0.065,0.06527,0.0645,0.06455,4058.972213,262.00665634915,2022-04-30
1651320000000,2022-04-30 12:00:00,ANKR/USD,0.06528,0.06547,0.06495,0.065,18706.76108,1215.9394702,2022-04-30
1651316400000,2022-04-30 11:00:00,ANKR/USD,0.06537,0.06591,0.06528,0.06528,11530.938653,752.73967526784,2022-04-30
1651312800000,2022-04-30 10:00:00,ANKR/USD,0.06526,0.06564,0.06503,0.06537,41567.751276,2717.28390091212,2022-04-30
1651309200000,2022-04-30 09:00:00,ANKR/USD,0.0653,0.0653,0.06492,0.06526,8203.460107,535.35780658282,2022-04-30
1651305600000,2022-04-30 08:00:00,ANKR/USD,0.06567,0.06577,0.06476,0.0653,14990.202207,978.8602041171,2022-04-30
1651302000000,2022-04-30 07:00:00,ANKR/USD,0.06608,0.06638,0.06555,0.06567,917.740233,60.26800110111,2022-04-30
1651298400000,2022-04-30 06:00:00,ANKR/USD,0.06642,0.06642,0.06606,0.06608,189.464313,12.51980180304,2022-04-30
1651294800000,2022-04-30 05:00:00,ANKR/USD,0.06603,0.06649,0.06602,0.06642,4299.802954,285.59291220468003,2022-04-30
1651291200000,2022-04-30 04:00:00,ANKR/USD,0.06607,0.06639,0.06588,0.06603,5324.068736,351.54825863808003,2022-04-30
1651287600000,2022-04-30 03:00:00,ANKR/USD,0.06626,0.06638,0.06588,0.06607,1034.313527,68.33709472889001,2022-04-30
1651284000000,2022-04-30 02:00:00,ANKR/USD,0.06661,0.06686,0.06622,0.06626,1703.068497,112.84531861122,2022-04-30
1651280400000,2022-04-30 01:00:00,ANKR/USD,0.06612,0.06676,0.06608,0.06661,14233.515612,948.09447491532,2022-04-30
1651276800000,2022-04-30 00:00:00,ANKR/USD,0.0657,0.0663,0.0657,0.06612,1925.551182,127.31744415384,2022-04-30
