unix,date,symbol,open,high,low,close,Volume DAI,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,DAI/USD,0.99991,0.99992,0.99987,0.99987,391.385886,391.33500583482,2022-05-01
1651442400000,2022-05-01 22:00:00,DAI/USD,0.99981,0.99992,0.99981,0.99991,1199.409795,1199.30184811845,2022-05-01
1651438800000,2022-05-01 21:00:00,DAI/USD,0.9999,0.99991,0.99981,0.99981,60.44021,60.4287263601,2022-05-01
1651435200000,2022-05-01 20:00:00,DAI/USD,0.99993,0.99993,0.99955,0.9999,302740.92523,302710.651137477,2022-05-01
1651431600000,2022-05-01 19:00:00,DAI/USD,0.99981,0.99993,0.99981,0.99993,3263.150603,3262.92218245779,2022-05-01
1651428000000,2022-05-01 18:00:00,DAI/USD,0.99981,0.9999,0.99981,0.99981,256.474701,256.42597080681,2022-05-01
1651424400000,2022-05-01 17:00:00,DAI/USD,0.9999,0.9999,0.99981,0.99981,165.690832,165.65935074192,2022-05-01
1651420800000,2022-05-01 16:00:00,DAI/USD,0.9999,0.9999,0.99981,0.9999,429.701329,429.6583588671,2022-05-01
1651417200000,2022-05-01 15:00:00,DAI/USD,0.99981,0.9999,0.99981,0.9999,953.988428,953.8930291572,2022-05-01
1651413600000,2022-05-01 14:00:00,DAI/USD,0.99981,0.99989,0.9998,0.99981,2160.97802,2160.5674341762,2022-05-01
1651410000000,2022-05-01 13:00:00,DAI/USD,0.99981,0.99989,0.9998,0.99981,1486.735196,1486.45271631276,2022-05-01
1651406400000,2022-05-01 12:00:00,DAI/USD,0.99999,0.99999,0.99981,0.99981,11382.849903,11380.68716151843,2022-05-01
1651402800000,2022-05-01 11:00:00,DAI/USD,0.9999,0.99999,0.9999,0.99999,24.875869,24.875620241310003,2022-05-01
1651399200000,2022-05-01 10:00:00,DAI/USD,0.99999,0.99999,0.9999,0.9999,48.344608,48.3397735392,2022-05-01
1651395600000,2022-05-01 09:00:00,DAI/USD,1.0,1.00018,0.99999,0.99999,106.949052,106.94798250948,2022-05-01
1651392000000,2022-05-01 08:00:00,DAI/USD,0.99981,1.00018,0.99981,1.0,1664.9897,1664.9897,2022-05-01
1651388400000,2022-05-01 07:00:00,DAI/USD,1.00018,1.00018,0.99981,0.99981,5120.236933,5119.26408798273,2022-05-01
1651384800000,2022-05-01 06:00:00,DAI/USD,1.00018,1.00019,0.99981,1.00018,10110.0,10111.8198,2022-05-01
1651381200000,2022-05-01 05:00:00,DAI/USD,0.99985,1.00018,0.99985,1.00018,1448.367667,1448.6283731800602,2022-05-01
1651377600000,2022-05-01 04:00:00,DAI/USD,0.99985,1.00018,0.99985,0.99985,424.947414,424.8836718879,2022-05-01
1651374000000,2022-05-01 03:00:00,DAI/USD,0.99985,0.99985,0.99985,0.99985,0.0,0.0,2022-05-01
1651370400000,2022-05-01 02:00:00,DAI/USD,0.99972,0.99985,0.99972,0.99985,212.6238,212.59190643,2022-05-01
1651366800000,2022-05-01 01:00:00,DAI/USD,0.99981,1.0,0.99965,0.99972,63261.076021,63243.36291971413,2022-05-01
1651363200000,2022-05-01 00:00:00,DAI/USD,1.0003,1.0003,0.9998,0.99981,6738.162181,6736.881930185609,2022-05-01
